customerID,Contract,MonthlyCharges,Probabilidad_Abandono %,Prediccion_Final
18472501,Month-to-month,93.55,85.6,Alerta: Riesgo Alto
819d6bde,Month-to-month,95.1,85.5,Alerta: Riesgo Alto
83349e96,Month-to-month,94.0,85.5,Alerta: Riesgo Alto
fac51155,Month-to-month,93.85,85.2,Alerta: Riesgo Alto
6289238e,Month-to-month,94.0,85.1,Alerta: Riesgo Alto
47029abd,Month-to-month,94.6,84.9,Alerta: Riesgo Alto
4dbecf2a,Month-to-month,93.85,84.8,Alerta: Riesgo Alto
7ea10d20,Month-to-month,94.85,84.7,Alerta: Riesgo Alto
0670055a,Month-to-month,100.8,84.5,Alerta: Riesgo Alto
ad6820b2,Month-to-month,94.3,84.2,Alerta: Riesgo Alto
004bb61b,Month-to-month,95.45,83.8,Alerta: Riesgo Alto
6352ca49,Month-to-month,93.85,83.3,Alerta: Riesgo Alto
b4e64c2b,Month-to-month,95.45,83.2,Alerta: Riesgo Alto
d1d079a5,Month-to-month,94.6,83.1,Alerta: Riesgo Alto
cf54c71c,Month-to-month,99.25,82.9,Alerta: Riesgo Alto
7a90a5ca,Month-to-month,95.15,82.6,Alerta: Riesgo Alto
565d86e5,Month-to-month,95.2,82.5,Alerta: Riesgo Alto
d7773fcd,Month-to-month,101.45,82.3,Alerta: Riesgo Alto
03475ce7,Month-to-month,96.0,82.3,Alerta: Riesgo Alto
eebded75,Month-to-month,86.05,82.2,Alerta: Riesgo Alto
38dddba3,Month-to-month,101.95,82.2,Alerta: Riesgo Alto
6ed8ee0e,Month-to-month,88.8,82.0,Alerta: Riesgo Alto
5a27f43e,Month-to-month,100.6,81.9,Alerta: Riesgo Alto
67f15e5c,Month-to-month,85.05,81.9,Alerta: Riesgo Alto
77d33c24,Month-to-month,84.05,81.8,Alerta: Riesgo Alto
761c5b7a,Month-to-month,100.95,81.8,Alerta: Riesgo Alto
90d851ae,Month-to-month,96.6,81.7,Alerta: Riesgo Alto
6134fe3a,Month-to-month,85.7,81.7,Alerta: Riesgo Alto
9d09726b,Month-to-month,100.5,81.6,Alerta: Riesgo Alto
c93434f9,Month-to-month,105.9,81.6,Alerta: Riesgo Alto
9a2ecc8b,Month-to-month,95.35,81.4,Alerta: Riesgo Alto
c542646b,Month-to-month,105.0,81.4,Alerta: Riesgo Alto
c949f9ac,Month-to-month,88.55,81.3,Alerta: Riesgo Alto
b52bac1a,Month-to-month,85.55,81.3,Alerta: Riesgo Alto
8a6ef780,Month-to-month,94.1,81.2,Alerta: Riesgo Alto
eddd4cf1,Month-to-month,89.3,81.2,Alerta: Riesgo Alto
309a89c2,Month-to-month,83.25,81.2,Alerta: Riesgo Alto
e89885a9,Month-to-month,99.55,81.0,Alerta: Riesgo Alto
df585e16,Month-to-month,93.85,81.0,Alerta: Riesgo Alto
